Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
mgtA	[mgtA 4,467,329 &rarr; 4,470,321]	+	mgtAp1	[mgtAp1 4,467,363]
stfZ	[stfZ 104,948 &larr; 105,499]	-	stfZp2	[stfZp2 105,421]
hisL	[hisL 2,089,965 &rarr; 2,090,140]	+	hisLp	[hisLp 2,089,965]
yqeK	[yqeK 2,989,935 &larr; 2,990,360]	-		
ahpCF	[ahpCF 638,693 &rarr; 641,318]	+	ahpCp2	[ahpCp2 638,693]
phr	[phr 739,354 &rarr; 740,925]	+	phrp	[phrp 739,421]
yrhB	[yrhB 3,584,759 &rarr; 3,585,043]	+		
frlABCDR	[frlABCDR 3,499,835 &rarr; 3,504,783]	+	frlAp1	[frlAp1 3,499,835]
aspA-dcuA	[aspA-dcuA 4,365,472 &larr; 4,368,432]	-	aspAp	[aspAp 4,368,432]
ychE	[ychE 1,298,598 &rarr; 1,299,245]	+		
serC-aroA	[serC-aroA 957,461 &rarr; 960,095]	+	serCp1	[serCp1 957,595]
glnB	[glnB 2,687,070 &larr; 2,687,526]	-	glnBp3	[glnBp3 2,687,526]
lit	[lit 1,198,695 &rarr; 1,199,588]	+		
aldA	[aldA 1,488,033 &rarr; 1,489,671]	+	aldAp	[aldAp 1,488,190]
rrsH-ileV-alaV-rrlH-rrfH	[rrsH-ileV-alaV-rrlH-rrfH 223,304 &rarr; 228,875]	+	rrsHp	[rrsHp 223,485]
gntU	[gntU 3,575,688 &larr; 3,577,061]	-		
ydfI	[ydfI 1,629,453 &larr; 1,630,913]	-		
galETKM	[galETKM 787,689 &larr; 792,177]	-	galEp3	[galEp3 792,177]
nac	[nac 2,061,016 &larr; 2,061,978]	-	nacp	[nacp 2,061,978]
setC	[setC 3,836,953 &rarr; 3,838,137]	+		
chiQ	[chiQ 709,790 &rarr; 710,116]	+		
aqpZ	[aqpZ 915,352 &larr; 916,047]	-		
cbpA-cbpM	[cbpA-cbpM 1,062,550 &larr; 1,064,037]	-	cbpAp6	[cbpAp6 1,064,037]
glgS	[glgS 3,191,716 &larr; 3,192,002]	-	glgSp2	[glgSp2 3,192,002]
pepT	[pepT 1,185,823 &rarr; 1,187,070]	+	pepTp	[pepTp 1,185,823]
mhpR-lacI	[mhpR-lacI 366,428 &larr; 368,528]	-	mhpRp2	[mhpRp2 368,528]
anmK	[anmK 1,718,493 &larr; 1,719,602]	-		
lptAB	[lptAB 3,343,299 &rarr; 3,344,669]	+	lptAp2	[lptAp2 3,343,299]
rseD-rpoE-rseABC	[rseD-rpoE-rseABC 2,707,322 &larr; 2,710,230]	-	rseDp3	[rseDp3 2,710,230]
ycjXF-tyrR	[ycjXF-tyrR 1,384,069 &rarr; 1,388,261]	+	ycjXp	[ycjXp 1,384,069]
yaaW	[yaaW 10,643 &larr; 11,356]	-		
ais	[ais 2,365,018 &larr; 2,365,620]	-		
gltBDF	[gltBDF 3,354,157 &rarr; 3,361,940]	+	gltBp	[gltBp 3,354,509]
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,344]	-	csgDp1	[csgDp1 1,103,344]
glyVXY	[glyVXY 4,392,313 &rarr; 4,392,658]	+	glyVp	[glyVp 4,392,313]
pfkA	[pfkA 4,107,522 &rarr; 4,108,732]	+	pfkAp1	[pfkAp1 4,107,522]
gspCDEFGHIJKLMO	[gspCDEFGHIJKLMO 3,455,531 &rarr; 3,466,220]	+	gspCp3	[gspCp3 3,455,531]
ybeL	[ybeL 674,993 &rarr; 675,500]	+	ybeLp	[ybeLp 674,993]
uxuR	[uxuR 4,554,411 &rarr; 4,555,349]	+	uxuRp	[uxuRp 4,554,458]
murQP-yfeW	[murQP-yfeW 2,545,773 &rarr; 2,549,406]	+		
pspE	[pspE 1,369,659 &rarr; 1,370,003]	+	pspEp	[pspEp NIL &rarr; NIL]
rutR	[rutR 1,074,113 &rarr; 1,074,880]	+	rutRp2	[rutRp2 1,074,113]
btuCED	[btuCED 1,792,809 &larr; 1,795,152]	-		
glk	[glk 2,508,424 &larr; 2,509,461]	-	glkp4	[glkp4 2,509,461]
grxC	[grxC 3,784,191 &larr; 3,784,442]	-		
yeiL	[yeiL 2,255,063 &rarr; 2,256,014]	+	yeiLp	[yeiLp 2,255,290]
ynfEFGH-dmsD	[ynfEFGH-dmsD 1,657,962 &rarr; 1,665,120]	+	ynfEp2	[ynfEp2 1,658,003]
rpiB	[rpiB 4,313,257 &rarr; 4,313,827]	+	rpiBp	[rpiBp 4,313,257]
yphA	[yphA 2,673,346 &rarr; 2,673,768]	+		
galE	[galE 790,312 &larr; 792,081]	-	galEp1	[galEp1 792,081]
glpFKX	[glpFKX 4,114,527 &larr; 4,118,161]	-	glpFp	[glpFp 4,118,161]
yodD	[yodD 2,024,986 &rarr; 2,025,213]	+		
gapA	[gapA 1,862,247 &rarr; 1,863,766]	+	gapAp6	[gapAp6 1,862,247]
pepE	[pepE 4,229,453 &larr; 4,230,142]	-		
yggSTU-rdgB-hemW	[yggSTU-rdgB-hemW 3,095,098 &rarr; 3,098,403]	+		
rhlE	[rhlE 830,872 &rarr; 832,236]	+		
kdpDE	[kdpDE 721,056 &larr; 724,414]	-		
ydcL	[ydcL 1,502,457 &rarr; 1,503,125]	+		
yahE	[yahE 335,739 &rarr; 336,788]	+	yahEp	[yahEp 335,739]
pgsA	[pgsA 1,992,269 &larr; 1,992,847]	-	pgsAp	[pgsAp NIL &larr; NIL]
yfjR-ypjK-yfjS-yfjT	[yfjR-ypjK-yfjS-yfjT 2,769,703 &rarr; 2,771,615]	+		
eno	[eno 2,906,643 &larr; 2,908,152]	-	enop5	[enop5 2,908,152]
gabDTP	[gabDTP 2,791,128 &rarr; 2,795,653]	+	gabDp	[gabDp 2,791,172]
ppiD	[ppiD 461,654 &rarr; 463,786]	+	ppiDp2	[ppiDp2 461,819]
phoE	[phoE 259,045 &larr; 260,158]	-	phoEp	[phoEp 260,158]
glnAZ	[glnAZ 4,055,990 &larr; 4,058,107]	-	glnAp2	[glnAp2 4,058,107]
clpB	[clpB 2,731,557 &larr; 2,734,205]	-	clpBp2	[clpBp2 2,734,205]
yciT	[yciT 1,343,597 &larr; 1,344,510]	-	yciTp	[yciTp 1,344,510]
xynR	[xynR 288,404 &larr; 289,162]	-		
ptrB	[ptrB 1,926,779 &larr; 1,928,865]	-	ptrBp	[ptrBp 1,928,865]
apaGH	[apaGH 50,380 &larr; 52,034]	-	apaGp	[apaGp 52,034]
inaA	[inaA 2,348,822 &larr; 2,349,499]	-	inaAp	[inaAp 2,349,499]
cybC	[cybC 4,459,488 &rarr; 4,459,855]	+		
cof	[cof 467,412 &rarr; 468,230]	+		
rpoN-hpf-ptsN-yhbJ-npr	[rpoN-hpf-ptsN-yhbJ-npr 3,344,662 &rarr; 3,348,289]	+	rpoNp	[rpoNp 3,344,662]
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,428,940]	-	rrsDp2	[rrsDp2 3,428,940]
yfeYX	[yfeYX 2,549,646 &larr; 2,551,243]	-	yfeYp	[yfeYp 2,551,243]
yfeCD	[yfeCD 2,518,407 &rarr; 2,519,205]	+	yfeCp	[yfeCp 2,518,407]
tamAB-ytfP	[tamAB-ytfP 4,442,382 &rarr; 4,448,235]	+		
yfaL	[yfaL 2,340,417 &larr; 2,344,169]	-		
gpt	[gpt 255,914 &rarr; 256,474]	+	gptp	[gptp 255,914]
entS	[entS 622,214 &rarr; 623,550]	+	entSp1	[entSp1 622,258]
fimE	[fimE 4,541,871 &rarr; 4,542,902]	+	fimEp	[fimEp 4,541,871]
malK-lamB-malM	[malK-lamB-malM 4,246,505 &rarr; 4,250,474]	+	malKp	[malKp 4,246,736]
xapB	[xapB 2,522,698 &larr; 2,524,251]	-	xapBp1	[xapBp1 2,524,251]
uppS-cdsA	[uppS-cdsA 194,784 &rarr; 196,534]	+	ispUp1	[ispUp1 194,784]
imp	[imp 54,755 &larr; 57,156]	-	impp1	[impp1 57,156]
ygeLK	[ygeLK 2,994,460 &larr; 2,995,092]	-		
ynjE	[ynjE 1,839,440 &rarr; 1,840,774]	+	ynjEp	[ynjEp 1,839,440]
ybhH	[ybhH 800,759 &rarr; 801,811]	+		
yffS	[yffS 2,564,523 &rarr; 2,565,332]	+		
lacZYA	[lacZYA 361,140 &larr; 366,377]	-	lacZp4	[lacZp4 366,377]
eptC	[eptC 4,148,532 &larr; 4,150,265]	-		
nepI	[nepI 3,840,549 &larr; 3,841,771]	-	nepIp	[nepIp 3,841,771]
mreBCD	[mreBCD 3,398,387 &larr; 3,401,356]	-	mreBp3	[mreBp3 3,401,356]
tnaCAB	[tnaCAB 3,888,308 &rarr; 3,891,483]	+	tnaCp	[tnaCp 3,888,411]
ybjL	[ybjL 888,134 &larr; 889,819]	-		
shiA	[shiA 2,053,566 &rarr; 2,054,959]	+	shiAp	[shiAp 2,053,566]
yafV	[yafV 239,419 &larr; 240,216]	-	yafVp	[yafVp 240,216]
ycaO	[ycaO 954,872 &larr; 956,632]	-		
priC-ybaM	[priC-ybaM 490,110 &larr; 490,812]	-		
prmB-aroC-mepA-yfcA-epmC-yfcL	[prmB-aroC-mepA-yfcA-epmC-yfcL 2,443,891 &larr; 2,448,440]	-		
fumC	[fumC 1,685,185 &larr; 1,686,654]	-	fumCp1	[fumCp1 1,686,654]
ytfI	[ytfI 4,437,707 &rarr; 4,438,645]	+		
yhfZY	[yhfZY 3,511,060 &larr; 3,512,344]	-		
xapAB	[xapAB 2,522,698 &larr; 2,524,910]	-	xapAp	[xapAp 2,524,910]
yciSM-pyrF-yciH	[yciSM-pyrF-yciH 1,340,135 &rarr; 1,342,984]	+	lapAp	[lapAp 1,340,135]
pflB	[pflB 951,207 &larr; 953,741]	-	pflBp3	[pflBp3 953,741]
mqo	[mqo 2,305,108 &larr; 2,306,754]	-		
dld	[dld 2,222,185 &rarr; 2,223,987]	+		
ygbK	[ygbK 2,862,197 &rarr; 2,863,501]	+	ygbKp	[ygbKp 2,862,197]
yjaA	[yjaA 4,213,234 &rarr; 4,213,617]	+		
paaJ	[paaJ 1,460,771 &rarr; 1,462,098]	+	paaJp2	[paaJp2 1,460,771]
yidR	[yidR 3,868,062 &larr; 3,869,309]	-		
lolB-ispE-prs	[lolB-ispE-prs 1,260,895 &larr; 1,263,556]	-	lolBp	[lolBp 1,263,556]
yfdF	[yfdF 2,463,012 &rarr; 2,464,070]	+		
pinR	[pinR 1,433,084 &larr; 1,433,674]	-		
pdeL	[pdeL 332,043 &rarr; 333,459]	+	pdeLp3	[pdeLp3 332,043]
clsA-yciU	[clsA-yciU 1,306,821 &larr; 1,308,673]	-	clsAp	[clsAp 1,308,673]
yhcC	[yhcC 3,353,121 &larr; 3,354,050]	-		
rihA	[rihA 683,477 &larr; 684,412]	-		
acs-yjcHG	[acs-yjcHG 4,283,253 &larr; 4,287,595]	-	acsp1	[acsp1 4,287,595]
yifN	[yifN 3,960,012 &larr; 3,960,460]	-		
metR	[metR 4,011,863 &larr; 4,012,855]	-	metRp1	[metRp1 4,012,855]
ssb	[ssb 4,273,938 &rarr; 4,274,661]	+	ssbp3	[ssbp3 4,274,011]
hchA	[hchA 2,035,630 &rarr; 2,036,686]	+	hchAp2	[hchAp2 2,035,630]
yagGH	[yagGH 285,395 &rarr; 288,399]	+		
elfDCG-ycbUVF	[elfDCG-ycbUVF 998,490 &rarr; 1,004,657]	+		
ilvY	[ilvY 3,956,883 &larr; 3,957,867]	-	ilvYp2	[ilvYp2 3,957,867]
aspT	[aspT 3,946,872 &rarr; 3,946,948]	+		
wzzB	[wzzB 2,097,321 &larr; 2,098,301]	-		
pssA	[pssA 2,722,668 &rarr; 2,724,082]	+	pssAp	[pssAp 2,722,668]
ydaSTUVW-rzpR	[ydaSTUVW-rzpR 1,420,365 &rarr; 1,423,644]	+		
yihF	[yihF 4,044,199 &rarr; 4,045,629]	+		
galF	[galF 2,113,434 &larr; 2,114,351]	-	galFp	[galFp 2,114,351]
amn	[amn 2,055,031 &rarr; 2,056,515]	+	amnp1	[amnp1 2,055,031]
holC	[holC 4,483,837 &larr; 4,484,280]	-		
fliDST	[fliDST 2,003,842 &rarr; 2,006,078]	+	fliDp1	[fliDp1 NIL &rarr; NIL]
yjjB-dnaTC-yjjA	[yjjB-dnaTC-yjjA 4,599,620 &larr; 4,602,177]	-	yjjBp	[yjjBp 4,602,177]
accBC	[accBC 3,405,140 &rarr; 3,407,302]	+	accBp1	[accBp1 3,405,140]
ygfI	[ygfI 3,066,277 &larr; 3,067,173]	-		
ydgA	[ydgA 1,689,794 &rarr; 1,691,360]	+	ydgAp	[ydgAp 1,689,794]
plsC	[plsC 3,162,744 &larr; 3,163,481]	-		
asnS	[asnS 987,392 &larr; 989,044]	-	asnSp	[asnSp 989,044]
yeiP	[yeiP 2,265,417 &rarr; 2,266,022]	+	yeiPp	[yeiPp 2,265,417]
tsx	[tsx 431,096 &larr; 432,091]	-	tsxp2	[tsxp2 432,091]
ynfB-speG	[ynfB-speG 1,655,709 &rarr; 1,656,744]	+	ynfBp	[ynfBp 1,655,709]
ompG	[ompG 1,381,947 &rarr; 1,382,852]	+		
serW	[serW 925,843 &larr; 926,043]	-	serWp1	[serWp1 926,043]
rimL	[rimL 1,498,743 &rarr; 1,499,477]	+	rimLp	[rimLp 1,498,743]
hsdRMS	[hsdRMS 4,580,068 &larr; 4,586,761]	-		
insE2F2EF2	[insE2F2EF2 391,739 &larr; 392,901]	-		
ydbD	[ydbD 1,475,066 &rarr; 1,477,450]	+	ydbDp	[ydbDp 1,475,066]
yceK	[yceK 1,113,579 &rarr; 1,113,806]	+		
ftsP	[ftsP 3,161,257 &larr; 3,162,669]	-		
torT	[torT 1,056,261 &rarr; 1,057,289]	+		
nupC	[nupC 2,512,919 &rarr; 2,514,244]	+	nupCp	[nupCp 2,513,009]
dadAX	[dadAX 1,237,457 &rarr; 1,239,949]	+	dadAp1	[dadAp1 1,237,509]
yfjM	[yfjM 2,765,513 &larr; 2,765,776]	-		
yghQ	[yghQ 3,131,341 &larr; 3,132,408]	-		
bglG	[bglG 3,905,636 &larr; 3,906,717]	-	bglGp2	[bglGp2 3,906,717]
hemN	[hemN 4,051,943 &rarr; 4,053,418]	+	hemNp	[hemNp 4,051,943]
ydjE	[ydjE 1,852,621 &larr; 1,853,979]	-		
codBA	[codBA 354,826 &rarr; 357,454]	+	codBp	[codBp 354,884]
pfkB	[pfkB 1,806,323 &rarr; 1,807,299]	+	pfkBp2	[pfkBp2 1,806,323]
rrsG-gltW-rrlG-rrfG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,448]	-	rrsGp	[rrsGp 2,731,448]
proS	[proS 217,020 &larr; 218,837]	-	proSp	[proSp 218,837]
ompC	[ompC 2,311,610 &larr; 2,312,830]	-	ompCp1	[ompCp1 2,312,830]
ynfM	[ynfM 1,669,672 &rarr; 1,670,952]	+	ynfMp	[ynfMp 1,669,672]
dcuB-fumB	[dcuB-fumB 4,345,631 &larr; 4,348,764]	-	dcuBp1	[dcuBp1 4,348,764]
lysC	[lysC 4,231,884 &larr; 4,233,616]	-	lysCp2	[lysCp2 4,233,616]
yrbG-kdsDC-lptCAB	[yrbG-kdsDC-lptCAB 3,340,211 &rarr; 3,344,669]	+	yrbGp	[yrbGp 3,340,211]
elaB	[elaB 2,380,722 &larr; 2,381,053]	-	elaBp	[elaBp 2,381,053]
ydiFO	[ydiFO 1,775,587 &rarr; 1,778,347]	+		
ackA	[ackA 2,413,459 &rarr; 2,414,672]	+	ackAp	[ackAp 2,413,459]
osmB	[osmB 1,343,110 &larr; 1,343,369]	-	osmBp2	[osmBp2 1,343,369]
rimO	[rimO 876,710 &larr; 878,070]	-	rimOp	[rimOp 878,070]
potFGHI	[potFGHI 893,634 &rarr; 897,929]	+	potFp2	[potFp2 893,634]
mutL-miaA-hfq-hflXKC	[mutL-miaA-hfq-hflXKC 4,397,046 &rarr; 4,404,304]	+	mutLp2	[mutLp2 4,397,046]
ykgJ	[ykgJ 303,853 &larr; 304,182]	-		
maa	[maa 479,367 &larr; 479,918]	-		
ytfF	[ytfF 4,432,091 &larr; 4,433,056]	-		
puuCBE	[puuCBE 1,362,728 &rarr; 1,366,815]	+	puuCp	[puuCp 1,362,728]
hscC	[hscC 681,723 &larr; 683,393]	-		
ecnB	[ecnB 4,376,509 &rarr; 4,376,731]	+	ecnBp	[ecnBp 4,376,509]
yjdIJ	[yjdIJ 4,351,843 &rarr; 4,352,357]	+		
thrL	[thrL 148 &rarr; 310]	+	thrLp	[thrLp 148]
mreB	[mreB 3,400,005 &larr; 3,401,129]	-	mreBp1	[mreBp1 3,401,129]
ybaY	[ybaY 475,379 &rarr; 475,951]	+		
nemRA-gloA	[nemRA-gloA 1,726,021 &rarr; 1,728,244]	+	nemRp	[nemRp 1,726,021]
icdC	[icdC 1,211,413 &rarr; 1,211,577]	+		
sbmC	[sbmC 2,080,789 &larr; 2,081,325]	-	sbmCp1	[sbmCp1 2,081,325]
flu	[flu 2,071,503 &rarr; 2,074,658]	+	flup2	[flup2 2,071,503]
yrbN-deaD	[yrbN-deaD 3,305,971 &larr; 3,308,086]	-	yrbNp1	[yrbNp1 3,308,086]
yieG	[yieG 3,895,272 &larr; 3,896,609]	-		
ygdD	[ygdD 2,941,236 &larr; 2,941,631]	-		
rpnB	[rpnB 2,422,649 &larr; 2,423,539]	-		
yedD	[yedD 2,007,677 &larr; 2,008,090]	-		
frmRAB	[frmRAB 377,535 &larr; 379,881]	-		
rlmL-uup	[rlmL-uup 1,007,672 &rarr; 1,011,871]	+	rlmLp	[rlmLp 1,007,672]
tsr	[tsr 4,591,403 &rarr; 4,593,312]	+	tsrp1	[tsrp1 4,591,412]
ynfL	[ynfL 1,668,699 &larr; 1,669,592]	-		
yqgA	[yqgA 3,109,553 &rarr; 3,110,260]	+		
ibsD	[ibsD 3,194,701 &rarr; 3,194,825]	+	ibsDp	[ibsDp 3,194,701]
rplL	[rplL 4,180,530 &rarr; 4,180,925]	+	rplLp	[rplLp NIL &rarr; NIL]
omrA	[omrA 2,976,102 &larr; 2,976,189]	-	omrAp	[omrAp 2,976,189]
tpiA	[tpiA 4,110,740 &larr; 4,111,569]	-	tpiAp	[tpiAp 4,111,569]
osmC	[osmC 1,556,544 &rarr; 1,557,056]	+	osmCp2	[osmCp2 1,556,606]
yiiG	[yiiG 4,087,002 &rarr; 4,088,057]	+		
sdiA	[sdiA 1,996,110 &larr; 1,996,917]	-	sdiAp1	[sdiAp1 1,996,917]
phoU	[phoU 3,906,853 &larr; 3,907,665]	-	phoUp	[phoUp 3,907,665]
glf-rfc	[glf-rfc 2,106,060 &larr; 2,108,329]	-		
entS	[entS 622,253 &rarr; 623,550]	+	entSp2	[entSp2 622,253]
ygiQ	[ygiQ 3,158,927 &larr; 3,161,146]	-		
glpR	[glpR 3,559,754 &larr; 3,560,756]	-	glpRp2	[glpRp2 3,560,756]
ybhJ	[ybhJ 803,503 &rarr; 805,764]	+		
osmC	[osmC 1,556,544 &rarr; 1,557,056]	+	osmCp1	[osmCp1 1,556,596]
flu	[flu 2,071,474 &rarr; 2,074,658]	+	flup1	[flup1 2,071,474]
yqcE-ygcE	[yqcE-ygcE 2,900,592 &rarr; 2,903,374]	+		
aroH	[aroH 1,788,384 &rarr; 1,789,510]	+	aroHp2	[aroHp2 1,788,384]
ivbL-ilvBN-uhpABC	[ivbL-ilvBN-uhpABC 3,847,305 &larr; 3,852,988]	-		
gatZABCD	[gatZABCD 2,171,833 &larr; 2,176,432]	-	gatZp	[gatZp 2,176,432]
fadD-sroD	[fadD-sroD 1,888,017 &larr; 1,889,807]	-	fadDp	[fadDp 1,889,807]
rpsU	[rpsU 3,210,646 &rarr; 3,211,072]	+	rpsUp1	[rpsUp1 3,210,646]
ynfEFGH-dmsD	[ynfEFGH-dmsD 1,657,962 &rarr; 1,665,120]	+	ynfEp	[ynfEp 1,658,003]
yjgM	[yjgM 4,479,034 &larr; 4,479,537]	-		
ybjC-nfsA-rimK-ybjN	[ybjC-nfsA-rimK-ybjN 890,835 &rarr; 893,433]	+	ybjCp	[ybjCp 890,892]
alpA	[alpA 2,758,644 &rarr; 2,758,856]	+		
yncI	[yncI 1,530,586 &rarr; 1,531,639]	+		
purA	[purA 4,404,573 &rarr; 4,405,985]	+	purAp	[purAp 4,404,664]
bssR	[bssR 878,248 &rarr; 878,631]	+		
speE	[speE 135,598 &larr; 136,504]	-	speEp	[speEp 136,504]
bepA-yfgD	[bepA-yfgD 2,616,068 &rarr; 2,617,937]	+	bepAp1	[bepAp1 2,616,068]
insH-10	[insH-10 3,365,702 &larr; 3,366,682]	-		
tcdA	[tcdA 2,945,036 &larr; 2,945,842]	-		
ybjM	[ybjM 890,089 &rarr; 890,466]	+		
valUXY-lysV	[valUXY-lysV 2,520,924 &rarr; 2,521,519]	+	valUp	[valUp 2,520,924]
ybjP	[ybjP 903,952 &larr; 904,523]	-	ybjPp	[ybjPp 904,523]
orn	[orn 4,391,604 &rarr; 4,392,149]	+		
ytfK	[ytfK 4,439,413 &rarr; 4,439,793]	+	ytfKp2	[ytfKp2 4,439,413]
phoH	[phoH 1,084,834 &rarr; 1,086,095]	+	phoHp1	[phoHp1 1,084,865]
pheP	[pheP 601,929 &rarr; 603,409]	+	phePp	[phePp 601,929]
qseBC	[qseBC 3,169,801 &rarr; 3,171,833]	+	qseBp1	[qseBp1 3,169,801]
rdcAB	[rdcAB 4,327,064 &rarr; 4,330,238]	+	rdcAp2	[rdcAp2 4,327,064]
serB-radA	[serB-radA 4,624,856 &rarr; 4,627,294]	+	serBp	[serBp 4,624,856]
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	[bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 197,026 &rarr; 208,608]	+	bamAp2	[bamAp2 197,026]
yqgEF	[yqgEF 3,092,937 &rarr; 3,093,916]	+		
yddG	[yddG 1,546,288 &larr; 1,547,205]	-	yddGp	[yddGp 1,547,205]
oxyS	[oxyS 4,158,278 &larr; 4,158,394]	-	oxySp	[oxySp 4,158,394]
ychN	[ychN 1,273,246 &larr; 1,273,599]	-		
aroH	[aroH 1,788,280 &rarr; 1,789,510]	+	aroHp1	[aroHp1 1,788,318]
ada-alkB	[ada-alkB 2,308,691 &larr; 2,310,427]	-	adap	[adap 2,310,427]
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	[rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM 3,967,800 &rarr; 3,980,696]	+	rfep	[rfep 3,967,800]
ycbX	[ycbX 1,006,491 &larr; 1,007,600]	-		
ptsHI-crr	[ptsHI-crr 2,533,552 &rarr; 2,536,380]	+	ptsHp2	[ptsHp2 2,533,601]
thrS-infC	[thrS-infC 1,800,035 &larr; 1,802,733]	-	thrSp	[thrSp 1,802,733]
recC	[recC 2,959,060 &larr; 2,962,507]	-	recCp	[recCp 2,962,507]
uidABC	[uidABC 1,691,586 &larr; 1,696,152]	-	uidAp	[uidAp 1,696,152]
artPIQM	[artPIQM 900,695 &larr; 903,815]	-	artPp1	[artPp1 903,815]
dosCP	[dosCP 1,563,276 &larr; 1,567,140]	-		
gfcBCD	[gfcBCD 1,045,849 &larr; 1,049,332]	-		
pgk	[pgk 3,071,431 &larr; 3,072,857]	-	pgkp1	[pgkp1 3,072,857]
pitB	[pitB 3,134,872 &larr; 3,136,403]	-	pitBp	[pitBp 3,136,403]
dgoRKADT	[dgoRKADT 3,870,438 &larr; 3,875,185]	-	dgoRp	[dgoRp 3,875,185]
insH3	[insH3 687,997 &larr; 688,977]	-		
ebgR	[ebgR 3,221,437 &rarr; 3,222,449]	+	ebgRp	[ebgRp 3,221,437]
yahH	[yahH 339,769 &rarr; 340,089]	+		
nadAp // pnuC // nadA	[TU0-13037 782,061 &rarr; 783,885]	+	nadAp	[nadAp 782,061]
rrsG-gltW-rrlG-rrfG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,332]	-	rrsGp2	[rrsGp2 2,731,332]
xapB	[xapB 2,522,698 &larr; 2,524,303]	-	xapBp2	[xapBp2 2,524,303]
ygeP	[ygeP 2,997,689 &larr; 2,997,988]	-		
ygbF	[ygbF 2,878,569 &larr; 2,878,915]	-	ygbFp	[ygbFp 2,878,915]
rlmN	[rlmN 2,643,129 &larr; 2,644,283]	-		
sieB	[sieB 1,418,671 &rarr; 1,419,159]	+		
pheMST-ihfA	[pheMST-ihfA 1,795,216 &larr; 1,799,301]	-	pheMp	[pheMp 1,799,301]
fliFGHIJK	[fliFGHIJK 2,013,091 &rarr; 2,019,513]	+	fliFp1	[fliFp1 2,013,146]
ppiA	[ppiA 3,491,725 &larr; 3,492,449]	-	ppiAp4	[ppiAp4 3,492,449]
yaiL	[yaiL 376,772 &rarr; 377,311]	+		
fabB	[fabB 2,440,283 &larr; 2,441,641]	-	fabBp	[fabBp 2,441,641]
adhE	[adhE 1,295,446 &larr; 1,298,413]	-	adhEp	[adhEp 1,298,413]
dxr-uppS-cdsA	[dxr-uppS-cdsA 193,521 &rarr; 196,534]	+		
ymdE-ycdU	[ymdE-ycdU 1,095,544 &rarr; 1,096,829]	+		
ygcU	[ygcU 2,897,964 &larr; 2,899,418]	-		
yqfE	[yqfE 3,059,381 &larr; 3,059,611]	-		
elfA	[elfA 997,868 &rarr; 998,407]	+		
fpr	[fpr 4,113,726 &larr; 4,114,499]	-	fprp	[fprp 4,114,499]
pyrG-eno	[pyrG-eno 2,906,643 &larr; 2,909,713]	-	pyrGp	[pyrGp 2,909,713]
pncB	[pncB 989,154 &larr; 990,414]	-	pncBp	[pncBp 990,414]
gspAB	[gspAB 3,453,508 &larr; 3,455,495]	-	gspAp3	[gspAp3 3,455,495]
truD	[truD 2,870,255 &larr; 2,871,304]	-		
pepA	[pepA 4,484,440 &larr; 4,486,112]	-	pepAp2	[pepAp2 4,486,112]
fumA	[fumA 1,686,705 &larr; 1,688,440]	-	fumAp	[fumAp 1,688,440]
nfsB	[nfsB 604,771 &larr; 605,453]	-	nfsBp	[nfsBp 605,453]
ydjLKJIHG	[ydjLKJIHG 1,854,991 &larr; 1,861,332]	-		
yeeN	[yeeN 2,056,858 &rarr; 2,057,574]	+		
secB-gpsA	[secB-gpsA 3,782,642 &larr; 3,784,203]	-	secBp	[secBp 3,784,203]
ileS-lspA-fkpB-ispH	[ileS-lspA-fkpB-ispH 22,229 &rarr; 27,279]	+	ileSp3	[ileSp3 22,229]
gapC_1C_2	[gapC_1C_2 1,489,713 &larr; 1,490,713]	-		
glgCAP	[glgCAP 3,564,082 &larr; 3,569,455]	-	glgCp2	[glgCp2 3,569,455]
hokE	[hokE 607,731 &rarr; 607,988]	+	hokEp	[hokEp 607,731]
rnk	[rnk 643,557 &larr; 643,967]	-		
ppA	[ppA 4,449,122 &larr; 4,449,686]	-	ppap	[ppap 4,449,686]
folD-ybcJ	[folD-ybcJ 556,661 &larr; 557,781]	-	folDp	[folDp 557,781]
bglX	[bglX 2,219,660 &larr; 2,222,120]	-	bglXp	[bglXp 2,222,120]
arpB	[arpB 1,803,094 &rarr; 1,804,993]	+		
ydfJ	[ydfJ 1,631,002 &larr; 1,632,285]	-		
sfsB	[sfsB 3,334,858 &rarr; 3,335,187]	+	sfsBp	[sfsBp 3,334,858]
pth-ychF	[pth-ychF 1,256,721 &larr; 1,258,542]	-	pthp	[pthp 1,258,542]
focA-pflB	[focA-pflB 951,207 &larr; 954,814]	-	focAp3	[focAp3 954,814]
