Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
essQ-ydfR-rrrQ-rzpQ	[essQ-ydfR-rrrQ-rzpQ 1,639,030 &larr; 1,640,585]	-			essQ // ydfR // rrrQ // rzpQ
ygfI	[ygfI 3,066,277 &larr; 3,067,173]	-			srsR
pdeL	[pdeL 332,043 &rarr; 333,459]	+	pdeLp3	[pdeLp3 332,043]	pdeL
otsBA	[otsBA 1,980,096 &larr; 1,982,442]	-	otsBp2	[otsBp2 1,982,442]	otsB // otsA
dxr-uppS-cdsA	[dxr-uppS-cdsA 193,521 &rarr; 196,534]	+			cdsA // ispU // dxr
pfkA	[pfkA 4,107,522 &rarr; 4,108,732]	+	pfkAp3	[pfkAp3 4,107,522]	pfkA
yrhB	[yrhB 3,584,759 &rarr; 3,585,043]	+			yrhB
rrsH-ileV-alaV-rrlH-rrfH	[rrsH-ileV-alaV-rrlH-rrfH 223,304 &rarr; 228,875]	+	rrsHp	[rrsHp 223,485]	rrfH // rrlH // alaV // ileV // rrsH
phoH	[phoH 1,084,834 &rarr; 1,086,095]	+	phoHp1	[phoHp1 1,084,865]	phoH
wzzB	[wzzB 2,097,321 &larr; 2,098,301]	-			wzzB
ydiFO	[ydiFO 1,775,587 &rarr; 1,778,347]	+			ydiO // ydiF
dld	[dld 2,222,185 &rarr; 2,223,987]	+			dld
aspA-dcuA	[aspA-dcuA 4,365,472 &larr; 4,368,432]	-	aspAp	[aspAp 4,368,432]	dcuA // aspA
yrbG-kdsDC-lptCAB	[yrbG-kdsDC-lptCAB 3,340,211 &rarr; 3,344,669]	+	yrbGp	[yrbGp 3,340,211]	lptB // lptA // lptC // kdsC // kdsD // yrbG
tnaCAB	[tnaCAB 3,888,308 &rarr; 3,891,483]	+	tnaCp	[tnaCp 3,888,411]	tnaC // tnaA // tnaB
dgoRKADT	[dgoRKADT 3,870,438 &larr; 3,875,185]	-	dgoRp	[dgoRp 3,875,185]	dgoR // dgoK // dgoA // dgoD // dgoT
hprRS	[hprRS 2,036,794 &larr; 2,038,823]	-			hprR // hprS
glyW-cysT-leuZ	[glyW-cysT-leuZ 1,991,745 &larr; 1,992,180]	-	glyWp	[glyWp 1,992,180]	3'ETS-<i>leuZ</i> // leuZ // cysT // glyW
glmZ	[glmZ 3,986,432 &rarr; 3,986,603]	+	glmZp	[glmZp 3,986,432]	glmZ
yodC	[yodC 2,028,188 &larr; 2,028,370]	-			yodC
ilvY	[ilvY 3,956,883 &larr; 3,957,867]	-	ilvYp2	[ilvYp2 3,957,867]	ilvY
yfgF	[yfgF 2,626,695 &larr; 2,629,031]	-	yfgFp	[yfgFp 2,629,031]	pdeF
yaiL	[yaiL 376,772 &rarr; 377,311]	+			yaiL
narU	[narU 1,542,672 &larr; 1,544,124]	-	narUp1	[narUp1 1,544,124]	narU
ais	[ais 2,365,018 &larr; 2,365,620]	-			ais
rrsG-gltW-rrlG-rrfG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,332]	-	rrsGp2	[rrsGp2 2,731,332]	rrfG // rrlG // gltW // rrsG
yeeED	[yeeED 2,084,226 &larr; 2,085,552]	-	yeeEp	[yeeEp 2,085,552]	tsuA // tsuB
ygbI	[ygbI 2,860,467 &larr; 2,861,234]	-			ygbI
yahE	[yahE 335,739 &rarr; 336,788]	+	yahEp	[yahEp 335,739]	yahE
insH-10	[insH-10 3,365,702 &larr; 3,366,682]	-			insH10
ynfB-speG	[ynfB-speG 1,655,709 &rarr; 1,656,744]	+	ynfBp	[ynfBp 1,655,709]	speG // ynfB
deoCABD	[deoCABD 4,616,391 &rarr; 4,621,659]	+	deoCp2	[deoCp2 4,617,278]	deoC // deoA // deoB // deoD
tktB	[tktB 2,579,308 &rarr; 2,581,639]	+	tktBp	[tktBp 2,579,308]	tktB
csgA	[csgA 1,104,236 &rarr; 1,104,902]	+	csgAp	[csgAp 1,104,236]	csgA
ligB	[ligB 3,819,488 &larr; 3,821,170]	-			ligB
galET	[galET 789,840 &larr; 792,081]	-	galEp	[galEp 792,081]	galT // galE
ytfF	[ytfF 4,432,091 &larr; 4,433,056]	-			ytfF
rlmN	[rlmN 2,643,129 &larr; 2,644,283]	-			rlmN
cycA	[cycA 4,429,780 &rarr; 4,431,276]	+	cycAp	[cycAp 4,429,780]	cycA
yqeK	[yqeK 2,989,935 &larr; 2,990,360]	-			yqeK
stfZ	[stfZ 104,948 &larr; 105,499]	-	stfZp2	[stfZp2 105,421]	stfZ
codBA	[codBA 354,826 &rarr; 357,454]	+	codBp	[codBp 354,884]	codB // codA
envR	[envR 3,412,803 &larr; 3,413,465]	-			envR
ybaP	[ybaP 507,286 &larr; 508,080]	-			ybaP
yagGH	[yagGH 285,395 &rarr; 288,399]	+			yagH // yagG
gpmA	[gpmA 786,843 &larr; 787,632]	-	gpmAp	[gpmAp 787,632]	gpmA
xerD-dsbC-recJ	[xerD-dsbC-recJ 3,036,373 &larr; 3,039,851]	-	xerDp	[xerDp 3,039,851]	recJ // dsbC // xerD
yghB	[yghB 3,153,529 &rarr; 3,154,222]	+	yghBp	[yghBp 3,153,529]	yghB
rsgA	[rsgA 4,390,457 &larr; 4,391,509]	-			rsgA
yedK	[yedK 2,009,821 &rarr; 2,010,489]	+			yedK
tam	[tam 1,607,221 &rarr; 1,608,104]	+	tamp	[tamp 1,607,221]	tam
acpH	[acpH 424,337 &larr; 424,918]	-			acpH
ttcA	[ttcA 1,411,013 &larr; 1,411,948]	-			ttcA
aqpZ	[aqpZ 915,352 &larr; 916,047]	-			aqpZ
topA	[topA 1,330,789 &rarr; 1,333,645]	+	topAp	[topAp 1,330,789]	topA
yghW	[yghW 3,146,450 &larr; 3,146,737]	-			yghW
recC	[recC 2,959,060 &larr; 2,962,507]	-	recCp	[recCp 2,962,507]	recC
yhjV	[yhjV 3,700,563 &rarr; 3,701,834]	+			yhjV
gfcBCD	[gfcBCD 1,045,849 &larr; 1,049,332]	-			gfcB // gfcC // gfcD
tpiA	[tpiA 4,110,740 &larr; 4,111,569]	-	tpiAp	[tpiAp 4,111,569]	tpiA
pgsA	[pgsA 1,992,269 &larr; 1,992,847]	-	pgsAp	[pgsAp NIL &larr; NIL]	pgsA
pck	[pck 3,532,539 &rarr; 3,534,440]	+	pckp	[pckp 3,532,679]	pck
yaaW	[yaaW 10,643 &larr; 11,356]	-			yaaW
potFGHI	[potFGHI 893,634 &rarr; 897,929]	+	potFp2	[potFp2 893,634]	potI // potH // potG // potF
elfA	[elfA 997,868 &rarr; 998,407]	+			elfA
fabB	[fabB 2,440,283 &larr; 2,441,641]	-	fabBp	[fabBp 2,441,641]	fabB
eptC	[eptC 4,148,532 &larr; 4,150,265]	-			eptC
osmB	[osmB 1,343,110 &larr; 1,343,369]	-	osmBp2	[osmBp2 1,343,369]	osmB
yfjM	[yfjM 2,765,513 &larr; 2,765,776]	-			yfjM
glnAZ	[glnAZ 4,055,990 &larr; 4,058,107]	-	glnAp2	[glnAp2 4,058,107]	glnZ // glnA
frlABCDR	[frlABCDR 3,499,835 &rarr; 3,504,783]	+	frlAp1	[frlAp1 3,499,835]	frlR // frlD // frlC // frlB // frlA
accBC	[accBC 3,405,140 &rarr; 3,407,302]	+	accBp1	[accBp1 3,405,140]	accB // accC
csrC	[csrC 4,051,036 &rarr; 4,051,281]	+	csrCp	[csrCp 4,051,036]	csrC
clsA-yciU	[clsA-yciU 1,306,821 &larr; 1,308,673]	-	clsAp	[clsAp 1,308,673]	yciU // clsA
lit	[lit 1,198,695 &rarr; 1,199,588]	+			lit
yggSTU-rdgB-hemW	[yggSTU-rdgB-hemW 3,095,098 &rarr; 3,098,403]	+			hemW // rdgB // yggU // yggT // yggS
aspT	[aspT 3,946,872 &rarr; 3,946,948]	+			aspT
cof	[cof 467,412 &rarr; 468,230]	+			cof
hemCDXY	[hemCDXY 3,986,686 &larr; 3,990,766]	-			hemY // hemX // hemD // hemC
dnaQ	[dnaQ 236,067 &rarr; 236,798]	+			dnaQ
ytjC	[ytjC 4,633,797 &rarr; 4,634,444]	+			ytjC
chaA	[chaA 1,270,749 &larr; 1,271,849]	-			chaA
yeeY	[yeeY 2,087,329 &larr; 2,088,258]	-			yeeY
ytfJ	[ytfJ 4,438,708 &larr; 4,439,286]	-	ytfJp	[ytfJp 4,439,286]	ytfJ
iraP	[iraP 401,319 &rarr; 401,646]	+	iraPp1	[iraPp1 401,319]	iraP
proS	[proS 217,020 &larr; 218,837]	-	proSp	[proSp 218,837]	proS
nemRA-gloA	[nemRA-gloA 1,726,021 &rarr; 1,728,244]	+	nemRp	[nemRp 1,726,021]	gloA // nemA // nemR
holC	[holC 4,483,837 &larr; 4,484,280]	-			holC
nagC	[nagC 700,374 &larr; 702,008]	-	nagCp2	[nagCp2 702,008]	nagC
thrS-infC	[thrS-infC 1,800,035 &larr; 1,802,733]	-	thrSp	[thrSp 1,802,733]	infC // thrS
rpnB	[rpnB 2,422,649 &larr; 2,423,539]	-			rpnB
dam-rpe-gph-trpS	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,982]	-	damp2	[damp2 3,515,982]	trpS // gph // rpe // dam
ybjP	[ybjP 903,952 &larr; 904,523]	-	ybjPp	[ybjPp 904,523]	ybjP
fliDST	[fliDST 2,003,842 &rarr; 2,006,078]	+	fliDp1	[fliDp1 NIL &rarr; NIL]	fliT // fliS // fliD
ahpCF	[ahpCF 638,693 &rarr; 641,318]	+	ahpCp2	[ahpCp2 638,693]	ahpF // ahpC
uxuR	[uxuR 4,554,411 &rarr; 4,555,349]	+	uxuRp	[uxuRp 4,554,458]	uxuR
sfmHF	[sfmHF 562,336 &rarr; 563,845]	+			sfmF // sfmH
ada-alkB	[ada-alkB 2,308,691 &larr; 2,310,427]	-	adap2	[adap2 2,310,427]	alkB // ada
yjeM	[yjeM 4,383,839 &rarr; 4,385,341]	+			yjeM
glnS	[glnS 706,060 &rarr; 707,978]	+	glnSp1	[glnSp1 706,060]	glnS
csrA	[csrA 2,818,961 &larr; 2,819,373]	-	csrAp1	[csrAp1 2,819,373]	csrA
yeiL	[yeiL 2,255,063 &rarr; 2,256,014]	+	yeiLp	[yeiLp 2,255,290]	yeiL
purMN	[purMN 2,620,960 &rarr; 2,622,872]	+	purMp	[purMp 2,621,153]	purM // purN
yhdU	[yhdU 3,412,621 &rarr; 3,412,800]	+			yhdU
torR	[torR 1,057,262 &larr; 1,057,984]	-	torRp	[torRp 1,057,984]	torR
rutR	[rutR 1,074,113 &rarr; 1,074,880]	+	rutRp2	[rutRp2 1,074,113]	rutR
ybhH	[ybhH 800,759 &rarr; 801,811]	+			ybhH
yqcE-ygcE	[yqcE-ygcE 2,900,592 &rarr; 2,903,374]	+			ygcE // yqcE
gabDTP	[gabDTP 2,791,128 &rarr; 2,795,653]	+	gabDp	[gabDp 2,791,172]	gabP // gabT // gabD
ybcQ	[ybcQ 573,956 &rarr; 574,339]	+			quuD
xapB	[xapB 2,522,698 &larr; 2,524,303]	-	xapBp2	[xapBp2 2,524,303]	xapB
hemN	[hemN 4,051,943 &rarr; 4,053,418]	+	hemNp	[hemNp 4,051,943]	hemN
ycaL	[ycaL 960,264 &rarr; 961,028]	+			ycaL
dcuB-fumB	[dcuB-fumB 4,345,631 &larr; 4,348,764]	-	dcuBp1	[dcuBp1 4,348,764]	fumB // dcuB
rplT-pheM	[rplT-pheM 1,799,161 &larr; 1,799,763]	-	rplTp	[rplTp 1,799,763]	pheM // rplT
lolB-ispE-prs	[lolB-ispE-prs 1,260,895 &larr; 1,263,556]	-	lolBp	[lolBp 1,263,556]	prs // ispE // lolB
rpsU-dnaG-rpoD	[rpsU-dnaG-rpoD 3,210,735 &rarr; 3,214,962]	+	rpsUp3	[rpsUp3 3,210,735]	rpsU // dnaG // rpoD
cybC	[cybC 4,459,488 &rarr; 4,459,855]	+			cybC
artPIQM	[artPIQM 900,695 &larr; 903,815]	-	artPp1	[artPp1 903,815]	artM // artQ // artI // artP
ybhB	[ybhB 807,433 &larr; 807,909]	-			ybhB
osmC	[osmC 1,556,544 &rarr; 1,557,056]	+	osmCp2	[osmCp2 1,556,606]	osmC
frmRAB	[frmRAB 377,535 &larr; 379,881]	-			frmR // frmA // frmB
ygbK	[ygbK 2,862,197 &rarr; 2,863,501]	+	ygbKp	[ygbKp 2,862,197]	ygbK
gpt	[gpt 255,914 &rarr; 256,474]	+	gptp	[gptp 255,914]	gpt
sieB	[sieB 1,418,671 &rarr; 1,419,159]	+			sieB
yjjB-dnaTC	[yjjB-dnaTC 4,600,139 &larr; 4,602,177]	-	yjjBp	[yjjBp 4,602,177]	dnaC // dnaT // yjjB
psuT	[psuT 2,256,085 &larr; 2,257,335]	-			psuT
xynR	[xynR 288,404 &larr; 289,162]	-			xynR
yfjR-ypjK-yfjS-yfjT	[yfjR-ypjK-yfjS-yfjT 2,769,703 &rarr; 2,771,615]	+			yfjT // yfjS // ypjK // yfjR
xapR	[xapR 2,521,334 &larr; 2,522,563]	-	xapRp2	[xapRp2 2,522,563]	xapR
ynfL	[ynfL 1,668,699 &larr; 1,669,592]	-			ynfL
azuCR	[azuCR 1,987,843 &larr; 1,988,001]	-	azuCp	[azuCp 1,988,001]	azuR // azuC
ybaY	[ybaY 475,379 &rarr; 475,951]	+			ybaY
pssA	[pssA 2,722,668 &rarr; 2,724,082]	+	pssAp	[pssAp 2,722,668]	pssA
exuR	[exuR 3,246,618 &rarr; 3,247,428]	+	exuRp2	[exuRp2 3,246,618]	exuR
yibG	[yibG 3,768,177 &rarr; 3,768,638]	+			yibG
yphA	[yphA 2,673,346 &rarr; 2,673,768]	+			yphA
yedD	[yedD 2,007,677 &larr; 2,008,090]	-			yedD
insC1CD1D1	[insC1CD1D1 381,351 &rarr; 382,579]	+			insD1 // insC1 // insCD1
elaB	[elaB 2,380,722 &larr; 2,381,053]	-	elaBp	[elaBp 2,381,053]	elaB
ynfM	[ynfM 1,669,672 &rarr; 1,670,952]	+	ynfMp	[ynfMp 1,669,672]	ynfM
dcuA	[dcuA 4,365,472 &larr; 4,366,843]	-	dcuAp1	[dcuAp1 4,366,843]	dcuA
inaA	[inaA 2,348,822 &larr; 2,349,499]	-	inaAp	[inaAp 2,349,499]	inaA
ebgR	[ebgR 3,221,437 &rarr; 3,222,449]	+	ebgRp	[ebgRp 3,221,437]	ebgR
eno	[eno 2,906,643 &larr; 2,908,674]	-	enop1	[enop1 2,908,674]	eno
proC	[proC 404,786 &larr; 405,686]	-	proCp	[proCp 405,686]	proC
bglG	[bglG 3,905,636 &larr; 3,906,717]	-	bglGp2	[bglGp2 3,906,717]	bglG
uppS-cdsA	[uppS-cdsA 194,784 &rarr; 196,534]	+	ispUp1	[ispUp1 194,784]	ispZ // cdsA // ispU
rpsU	[rpsU 3,210,646 &rarr; 3,211,072]	+	rpsUp1	[rpsUp1 3,210,646]	rpsU
dosCP	[dosCP 1,563,276 &larr; 1,567,140]	-			dosP // dosC
yhfZY	[yhfZY 3,511,060 &larr; 3,512,344]	-			yhfZ // yhfY
tsx	[tsx 431,096 &larr; 432,091]	-	tsxp2	[tsxp2 432,091]	tsx
hda	[hda 2,618,075 &larr; 2,618,806]	-	hdap	[hdap NIL &larr; NIL]	hda
hicAB	[hicAB 1,509,221 &rarr; 1,509,924]	+	hicAp1	[hicAp1 1,509,221]	hicB // hicA
gspAB	[gspAB 3,453,508 &larr; 3,455,510]	-	gspAp2	[gspAp2 3,455,510]	gspB // gspA
yajC-secDF	[yajC-secDF 427,205 &rarr; 430,476]	+	yajCp	[yajCp 427,205]	secF // secD // yajC
esrE	[esrE 4,019,978 &rarr; 4,020,229]	+	esrEp	[esrEp 4,019,978]	esrE
rrsG-gltW-rrlG-rrfG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,448]	-	rrsGp	[rrsGp 2,731,448]	rrfG // rrlG // gltW // rrsG
ygiN	[ygiN 3,173,142 &rarr; 3,173,456]	+			ygiN
xapAB	[xapAB 2,522,698 &larr; 2,524,910]	-	xapAp	[xapAp 2,524,910]	xapB // xapA
eno	[eno 2,906,643 &larr; 2,908,152]	-	enop5	[enop5 2,908,152]	eno
clpB	[clpB 2,731,557 &larr; 2,734,205]	-	clpBp2	[clpBp2 2,734,205]	clpB
udk-dcd	[udk-dcd 2,141,634 &larr; 2,142,948]	-			dcd // udk
ybeL	[ybeL 674,993 &rarr; 675,500]	+	ybeLp	[ybeLp 674,993]	ybeL
ybjC-nfsA-rimK-ybjN	[ybjC-nfsA-rimK-ybjN 890,835 &rarr; 893,433]	+	ybjCp	[ybjCp 890,892]	ybjN // rimK // nfsA // ybjC
cfa	[cfa 1,741,379 &rarr; 1,742,561]	+	cfap2	[cfap2 1,741,379]	cfa
plsC	[plsC 3,162,744 &larr; 3,163,481]	-			plsC
pstB-phoU	[pstB-phoU 3,906,853 &larr; 3,908,447]	-	pstBp3	[pstBp3 3,908,447]	phoU // pstB
yjgM	[yjgM 4,479,034 &larr; 4,479,537]	-			yjgM
ychS	[ychS 1,286,709 &rarr; 1,286,984]	+			ychS
yicL	[yicL 3,838,248 &rarr; 3,839,171]	+			yicL
tsaD	[tsaD 3,209,530 &larr; 3,210,543]	-			tsaD
rimO	[rimO 876,710 &larr; 878,070]	-	rimOp	[rimOp 878,070]	rimO
hchA	[hchA 2,035,630 &rarr; 2,036,686]	+	hchAp2	[hchAp2 2,035,630]	hchA
folA	[folA 49,799 &rarr; 50,302]	+	folAp	[folAp 49,799]	folA
mutL-miaA-hfq-hflXKC	[mutL-miaA-hfq-hflXKC 4,397,046 &rarr; 4,404,304]	+	mutLp2	[mutLp2 4,397,046]	hflC // hflK // hflX // hfq // miaA // mutL
patZ	[patZ 2,719,931 &rarr; 2,722,613]	+	pkap	[pkap 2,719,931]	patZ
katE	[katE 1,813,814 &rarr; 1,816,282]	+	katEp	[katEp 1,813,814]	katE
glnHPQ	[glnHPQ 845,741 &larr; 848,047]	-	glnHp2	[glnHp2 848,047]	glnQ // glnP // glnH
btuCED	[btuCED 1,792,809 &larr; 1,795,152]	-			btuD // btuE // btuC
ynjE	[ynjE 1,839,440 &rarr; 1,840,774]	+	ynjEp	[ynjEp 1,839,440]	ynjE
menA-rraA	[menA-rraA 4,118,845 &larr; 4,120,398]	-	menAp1	[menAp1 4,120,398]	rraA // menA
fadD-sroD	[fadD-sroD 1,888,017 &larr; 1,889,807]	-	fadDp	[fadDp 1,889,807]	sroD // fadD
yrbN-deaD	[yrbN-deaD 3,305,971 &larr; 3,308,086]	-	yrbNp1	[yrbNp1 3,308,086]	deaD // yrbN
pflB	[pflB 951,207 &larr; 953,741]	-	pflBp3	[pflBp3 953,741]	pflB
nudC-hemE-nfi	[nudC-hemE-nfi 4,196,903 &rarr; 4,199,461]	+			nfi // hemE // nudC
gspCDEFGHIJKLMO	[gspCDEFGHIJKLMO 3,455,531 &rarr; 3,466,220]	+	gspCp3	[gspCp3 3,455,531]	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,428,940]	-	rrsDp2	[rrsDp2 3,428,940]	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD
ybjL	[ybjL 888,134 &larr; 889,819]	-			ybjL
ygiQ	[ygiQ 3,158,927 &larr; 3,161,146]	-			ygiQ
hepA	[hepA 60,358 &larr; 63,588]	-	rapAp2	[rapAp2 63,588]	rapA
yfaATSQP	[yfaATSQP 2,327,367 &larr; 2,336,644]	-			yfaA // yfaT // yfaS // yfaQ // yfaP
iraD	[iraD 4,556,574 &rarr; 4,557,385]	+	iraDp1	[iraDp1 4,556,576]	idlP // ytiD // ytiC // iraD
glpFKX	[glpFKX 4,114,527 &larr; 4,118,161]	-	glpFp	[glpFp 4,118,161]	glpX // glpK // glpF
hemA-prfA-prmC	[hemA-prfA-prmC 1,263,651 &rarr; 1,266,927]	+	hemAp1	[hemAp1 1,263,676]	prmC // prfA // hemA
ydbD	[ydbD 1,475,066 &rarr; 1,477,450]	+	ydbDp	[ydbDp 1,475,066]	ydbD
entS	[entS 622,253 &rarr; 623,550]	+	entSp2	[entSp2 622,253]	entS
gltIJKL-sroC	[gltIJKL-sroC 684,530 &larr; 687,896]	-	gltIp1	[gltIp1 687,896]	sroC // gltL // gltK // gltJ // gltI
nadAp // pnuC // nadA	[TU0-13037 782,061 &rarr; 783,885]	+	nadAp	[nadAp 782,061]	pnuC // nadA
yciSM-pyrF-yciH	[yciSM-pyrF-yciH 1,340,135 &rarr; 1,342,984]	+	lapAp	[lapAp 1,340,135]	yciH // pyrF // lapB // lapA
alpA	[alpA 2,758,644 &rarr; 2,758,856]	+			alpA
secG	[secG 3,322,173 &larr; 3,322,505]	-			secG
yncK	[yncK 1,503,218 &larr; 1,503,649]	-			yncK
yqgA	[yqgA 3,109,553 &rarr; 3,110,260]	+			yqgA
msrB	[msrB 1,862,016 &larr; 1,862,464]	-	msrBp6	[msrBp6 1,862,464]	msrB
ykfBF-yafX-ykfGH-yafW-ykfI	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,158]	-	ykfBp1	[ykfBp1 266,158]	ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB
hemF	[hemF 2,553,205 &rarr; 2,554,124]	+	hemFp1	[hemFp1 2,553,205]	hemF
bhsA	[bhsA 1,169,019 &rarr; 1,169,330]	+	bhsAp9	[bhsAp9 1,169,019]	bhsA
ecnB	[ecnB 4,376,509 &rarr; 4,376,731]	+	ecnBp	[ecnBp 4,376,509]	ecnB
alr	[alr 4,265,589 &rarr; 4,266,861]	+	alrp1	[alrp1 4,265,589]	alr
yagP	[yagP 297,381 &larr; 297,791]	-			yagP
satP	[satP 9,928 &larr; 10,494]	-			satP
nsrR-rnr-rlmB-yjfI	[nsrR-rnr-rlmB-yjfI 4,406,044 &rarr; 4,410,534]	+	nsrRp	[nsrRp 4,406,044]	yjfI // rlmB // rnr // nsrR
insE2F2EF2	[insE2F2EF2 391,739 &larr; 392,901]	-			insE2 // insF2 // insEF2
yjjB-dnaTC-yjjA	[yjjB-dnaTC-yjjA 4,599,620 &larr; 4,602,177]	-	yjjBp	[yjjBp 4,602,177]	yjjA // dnaC // dnaT // yjjB
mcrA	[mcrA 1,210,346 &rarr; 1,211,179]	+			mcrA
ppiD	[ppiD 461,654 &rarr; 463,786]	+	ppiDp2	[ppiDp2 461,819]	ppiD
agp	[agp 1,065,326 &rarr; 1,066,857]	+	agpp	[agpp 1,065,559]	agp
ynfN	[ynfN 1,637,954 &larr; 1,638,109]	-			ynfN
menBCE	[menBCE 2,373,648 &larr; 2,376,819]	-			menE // menC // menB
phr	[phr 739,354 &rarr; 740,925]	+	phrp	[phrp 739,421]	phr
uidABC	[uidABC 1,691,586 &larr; 1,696,152]	-	uidAp	[uidAp 1,696,152]	uidC // uidB // uidA
yceK	[yceK 1,113,579 &rarr; 1,113,806]	+			yceK
amn	[amn 2,055,031 &rarr; 2,056,515]	+	amnp1	[amnp1 2,055,031]	amn
pheMST-ihfA	[pheMST-ihfA 1,795,216 &larr; 1,799,301]	-	pheMp	[pheMp 1,799,301]	ihfA // pheM // pheT // pheS
rpoN-hpf-ptsN-yhbJ-npr	[rpoN-hpf-ptsN-yhbJ-npr 3,344,662 &rarr; 3,348,289]	+	rpoNp	[rpoNp 3,344,662]	rpoN // hpf // ptsN // rapZ // npr
paaJ	[paaJ 1,460,771 &rarr; 1,462,098]	+	paaJp2	[paaJp2 1,460,771]	paaJ
grxC	[grxC 3,784,191 &larr; 3,784,442]	-			grxC
priC-ybaM	[priC-ybaM 490,110 &larr; 490,812]	-			priC // ybaM
cspI	[cspI 1,638,455 &larr; 1,638,812]	-	cspIp1	[cspIp1 1,638,812]	cspI
yidR	[yidR 3,868,062 &larr; 3,869,309]	-			yidR
yciT	[yciT 1,343,597 &larr; 1,344,510]	-	yciTp	[yciTp 1,344,510]	yciT
rhaSR	[rhaSR 4,097,599 &rarr; 4,099,494]	+	rhaSp2	[rhaSp2 4,097,711]	rhaS // rhaR
fumC	[fumC 1,685,185 &larr; 1,686,654]	-	fumCp1	[fumCp1 1,686,654]	fumC
ycaO	[ycaO 954,872 &larr; 956,632]	-			ycaO
yedA	[yedA 2,029,539 &rarr; 2,030,459]	+			yedA
flu	[flu 2,071,503 &rarr; 2,074,658]	+	flup2	[flup2 2,071,503]	flu
ymdE-ycdU	[ymdE-ycdU 1,095,544 &rarr; 1,096,829]	+			ycdU // ymdE
ppk-ppx	[ppk-ppx 2,623,044 &rarr; 2,626,656]	+			ppx // ppk
ytfI	[ytfI 4,437,707 &rarr; 4,438,645]	+			ytfI
gcd	[gcd 138,801 &larr; 141,263]	-	gcdp1	[gcdp1 141,263]	gcd
yhiL	[yhiL 3,632,852 &larr; 3,634,488]	-	yhiLp	[yhiLp NIL &larr; NIL]	yhiL
galETKM	[galETKM 787,689 &larr; 792,177]	-	galEp3	[galEp3 792,177]	galM // galK // galT // galE
gntU	[gntU 3,575,688 &larr; 3,577,061]	-			gntU
ybjK	[ybjK 887,423 &rarr; 887,959]	+			rcdA
pfkB	[pfkB 1,806,323 &rarr; 1,807,299]	+	pfkBp2	[pfkBp2 1,806,323]	pfkB
malK-lamB-malM	[malK-lamB-malM 4,246,505 &rarr; 4,250,474]	+	malKp	[malKp 4,246,736]	malK // lamB // malM
qseBC	[qseBC 3,169,801 &rarr; 3,171,833]	+	qseBp1	[qseBp1 3,169,801]	qseC // qseB
rhlE	[rhlE 830,872 &rarr; 832,236]	+			rhlE
ydfI	[ydfI 1,629,453 &larr; 1,630,913]	-			ydfI
rpoS	[rpoS 2,866,559 &larr; 2,867,724]	-	rpoSp4	[rpoSp4 2,867,724]	rpoS
mlaFEDCB	[mlaFEDCB 3,336,963 &larr; 3,340,132]	-	mlaFp1	[mlaFp1 3,340,132]	mlaB // mlaC // mlaD // mlaE // mlaF
serB-radA	[serB-radA 4,624,856 &rarr; 4,627,294]	+	serBp	[serBp 4,624,856]	radA // serB
yraN	[yraN 3,295,394 &rarr; 3,295,789]	+			yraN
setC	[setC 3,836,953 &rarr; 3,838,137]	+			setC
ycbX	[ycbX 1,006,491 &larr; 1,007,600]	-			ycbX
gatZABCD	[gatZABCD 2,171,833 &larr; 2,176,432]	-	gatZp	[gatZp 2,176,432]	gatA // gatB // gatC // gatD // gatZ
glk	[glk 2,508,424 &larr; 2,509,461]	-	glkp4	[glkp4 2,509,461]	glk
ppiD	[ppiD 461,838 &rarr; 463,786]	+	ppiDp1	[ppiDp1 461,838]	ppiD
ompC	[ompC 2,311,610 &larr; 2,312,830]	-	ompCp1	[ompCp1 2,312,830]	ompC
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,344]	-	csgDp1	[csgDp1 1,103,344]	csgG // csgF // csgE // csgD
sibA	[sibA 2,153,311 &rarr; 2,153,454]	+	sibAp	[sibAp 2,153,311]	sibA
ygeP	[ygeP 2,997,689 &larr; 2,997,988]	-			ygeP
maa	[maa 479,367 &larr; 479,918]	-			maa
exbBD	[exbBD 3,150,552 &larr; 3,152,014]	-	exbBp	[exbBp 3,152,014]	exbD // exbB
yejG	[yejG 2,277,893 &larr; 2,278,277]	-	yejGp1	[yejGp1 2,278,277]	yejG
ptrB	[ptrB 1,926,779 &larr; 1,928,865]	-	ptrBp	[ptrBp 1,928,865]	ptrB
mobAB	[mobAB 4,040,906 &larr; 4,042,030]	-	mobAp1	[mobAp1 4,042,030]	mobB // mobA
